nombre,categoria,tipo,hp,debilidad,resistencia,ataque_1_nombre,ataque_1_dano,ataque_1_costo,ataque_1_efecto,ataque_2_nombre,ataque_2_dano,ataque_2_costo,ataque_2_efecto,imagen_small,imagen_large
Bill,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/base1/91.png,https://images.pokemontcg.io/base1/91_hires.png
Blaine,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/gym2/17.png,https://images.pokemontcg.io/gym2/17_hires.png
Blaine's Gamble,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/gym1/121.png,https://images.pokemontcg.io/gym1/121_hires.png
Blaine's Last Resort,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/gym1/105.png,https://images.pokemontcg.io/gym1/105_hires.png
Blaine's Quiz #1,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/gym1/97.png,https://images.pokemontcg.io/gym1/97_hires.png
Blaine's Quiz #2,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/gym2/111.png,https://images.pokemontcg.io/gym2/111_hires.png
Blaine's Quiz #3,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/gym2/112.png,https://images.pokemontcg.io/gym2/112_hires.png
Brock,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/gym1/15.png,https://images.pokemontcg.io/gym1/15_hires.png
Brock's Protection,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/gym2/101.png,https://images.pokemontcg.io/gym2/101_hires.png
Brock's Training Method,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/gym1/106.png,https://images.pokemontcg.io/gym1/106_hires.png
Celadon City Gym,Entrenador,Stadium,,,,,,,,,,,,https://images.pokemontcg.io/gym1/107.png,https://images.pokemontcg.io/gym1/107_hires.png
Cerulean City Gym,Entrenador,Stadium,,,,,,,,,,,,https://images.pokemontcg.io/gym1/108.png,https://images.pokemontcg.io/gym1/108_hires.png
Challenge!,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/base5/74.png,https://images.pokemontcg.io/base5/74_hires.png
Chaos Gym,Entrenador,Stadium,,,,,,,,,,,,https://images.pokemontcg.io/gym2/102.png,https://images.pokemontcg.io/gym2/102_hires.png
Charity,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/gym1/99.png,https://images.pokemontcg.io/gym1/99_hires.png
